names,scores,logfoldchanges,pvals,pvals_adj,group,analysis_type
Lpar1,10.332004,2.5932205,5.049477657143736e-25,3.3898591264741165e-24,3,combined
Nfe2l2,10.233135,2.4218338,1.4088273439374233e-24,9.327408621930527e-24,3,combined
Mapk3,10.22581,1.5892302,1.5195204064722532e-24,9.991367056255912e-24,3,combined
Ccdc80,10.160249,1.4304888,2.9831407340871076e-24,1.948173540628315e-23,3,combined
Stx1a,10.061698,1.3752501,8.157899526336782e-24,5.221055696855541e-23,3,combined
Arhgef2,9.965801,0.8557236,2.1513130172588432e-23,1.3677221831579402e-22,3,combined
Gjb6,9.945173,2.5776362,2.6471261101153386e-23,1.6501565361757954e-22,3,combined
Unc5b,9.918474,3.2128057,3.46003291263882e-23,2.1429881265375915e-22,3,combined
Unc13b,9.901366,1.1885611,4.1062569211606195e-23,2.5269273360988428e-22,3,combined
Itpr1,9.84806,1.0413179,6.987978843398794e-23,4.2458605630777485e-22,3,combined
Stx5a,9.796583,1.218002,1.1645839965583885e-22,7.0314505452581945e-22,3,combined
Cldn11,9.744742,2.9688327,1.9427157928334268e-22,1.1656294757000562e-21,3,combined
March6,9.566047,0.59987396,1.1107228328726977e-21,6.501792192425547e-21,3,combined
Gnb1,9.526018,0.60737526,1.6343224333180506e-21,9.50878506657775e-21,3,combined
Gnb4,9.519875,2.4309356,1.7338810376368203e-21,1.0027263832116552e-20,3,combined
Smo,9.468966,1.1801065,2.8262767160469262e-21,1.624686016410209e-20,3,combined
Ptpn11,9.319697,0.6826188,1.16672589838799e-20,6.627555399127043e-20,3,combined
Gfap,9.0954895,0.5953626,9.416134018988006e-20,5.255516661760748e-19,3,combined
Alpl,9.091008,2.9265735,9.812526542328668e-20,5.445101433893365e-19,3,combined
Tead1,8.997764,0.6980637,2.3036290639510847e-19,1.2709677594212881e-18,3,combined
Tet2,8.788945,0.49695608,1.5097116931650581e-18,8.096777795745563e-18,3,combined
Jun,8.6862135,1.0941008,3.747195046407392e-18,1.9657416636891237e-17,3,combined
Ngfr,8.642688,4.30906,5.490593181958923e-18,2.8646573123263947e-17,3,combined
Cspg4,8.546713,2.156081,1.266441165436561e-17,6.432717030788882e-17,3,combined
Ptprs,72.50953,3.2258413,0.0,0.0,4,combined
Cntn2,68.31546,4.831048,0.0,0.0,4,combined
Sox11,66.356064,3.235969,0.0,0.0,4,combined
Ttc28,63.27312,3.5183995,0.0,0.0,4,combined
Draxin,62.62089,3.0650654,0.0,0.0,4,combined
Nfasc,62.460564,3.2217827,0.0,0.0,4,combined
Tubb3,62.28864,2.9736817,0.0,0.0,4,combined
Cnr1,61.944,3.1462166,0.0,0.0,4,combined
Plxna2,60.996426,3.192228,0.0,0.0,4,combined
Mex3a,60.29173,2.9107232,0.0,0.0,4,combined
Nfix,59.94484,3.0477183,0.0,0.0,4,combined
Igfbpl1,58.13306,3.466945,0.0,0.0,4,combined
Sox4,57.318058,2.587177,0.0,0.0,4,combined
Neurod6,56.217583,3.0560417,0.0,0.0,4,combined
Mpped1,55.734955,3.2039955,0.0,0.0,4,combined
Dcc,53.381626,3.5741189,0.0,0.0,4,combined
Neurod2,52.47221,2.6856709,0.0,0.0,4,combined
Nfib,51.64698,2.008377,0.0,0.0,4,combined
Foxg1,49.264923,2.289861,0.0,0.0,4,combined
